variavel,descricao,tipo,subtipo
carat,Peso do diamante em quilates,quantitativa,contínua
cut,"Qualidade do corte (Fair, Good, Very Good, Premium, Ideal)",qualitativa,ordinal
color,"Cor do diamante, de J (pior) a D (melhor)",qualitativa,ordinal
clarity,"Claridade do diamante (I1, SI2, SI1, VS2, VS1, VVS2, VVS1, IF)",qualitativa,ordinal
depth,"Profundidade total percentual = z / média(x, y)",quantitativa,contínua
table,Largura da parte superior do diamante em relação ao ponto mais largo,quantitativa,contínua
price,Preço em dólares americanos,quantitativa,discreta
x,Comprimento do diamante em milímetros,quantitativa,contínua
y,Largura do diamante em milímetros,quantitativa,contínua
z,Profundidade do diamante em milímetros,quantitativa,contínua
